text,target,category,polarity,from,to,id,_rid,target,category,polarity,from,to,text,target,category,polarity,from,to,id,text,target,category,polarity,from,to,id,text,target,category,polarity,from,to,id,target,category,polarity,from,to,target,category,polarity,from,to,target,category,polarity,from,to,target,category,polarity,from,to,target,category,polarity,from,to,target,category,polarity,from,to,text,target,category,polarity,from,to,id,text,target,category,polarity,from,to,id,text,target,category,polarity,from,to,id,target,category,polarity,from,to,target,category,polarity,from,to,target,category,polarity,from,to,target,category,polarity,from,to,target,category,polarity,from,to,target,category,polarity,from,to
This place rocks!,place,RESTAURANT#GENERAL,positive,5,10,71:00:00,71,,,,,,Great view of Crab Island as u enjoy a great fish sandwich with a cold one!,view,LOCATION#GENERAL,positive,6,10,71:01:00,,,,,,,,,,,,,,,fish sandwich,FOOD#QUALITY,positive,45,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wash down a tuna tartar with an Ion martini!,tuna tartar,FOOD#QUALITY,positive,12,23,72:00:00,72,Ion martini,DRINKS#QUALITY,positive,32,43,You'll love this electrolyte enhanced vodka!,electrolyte enhanced vodka,DRINKS#QUALITY,positive,17,43,72:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Service is terrible, sadly it is not the managements fault.",Service,SERVICE#GENERAL,negative,0,7,73:00:00,73,managements,SERVICE#GENERAL,neutral,41,52,There is just no respect shown by the general staff.,staff,SERVICE#GENERAL,negative,46,51,73:01:00,It's sad.,,,,,,73:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great food!,food,FOOD#QUALITY,positive,6,10,74:00:00,74,,,,,,"Fair price, good ambiance and live music.",ambiance,AMBIENCE#GENERAL,positive,17,25,74:01:00,,,,,,,,,,,,,,,music,AMBIENCE#GENERAL,positive,35,40,,,,,,,,,,,,,,,,,RESTAURANT#PRICES,positive,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best wine in town, we will be back for more.",wine,DRINKS#QUALITY,positive,5,9,75:00:00,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get a calzone.,calzone,FOOD#QUALITY,positive,6,13,76:00:00,76,,,,,,They're 10 dollars but the size of a small baby.,,FOOD#STYLE_OPTIONS,positive,0,0,76:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lovely food, good portions, friendly staff.",food,FOOD#QUALITY,positive,7,11,77:00:00,77,portions,FOOD#STYLE_OPTIONS,positive,18,26,Recommended!,,RESTAURANT#GENERAL,positive,0,0,77:01:00,,,,,,,,,,,,,,,,,,,,staff,SERVICE#GENERAL,positive,37,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serves a wide range of cooked and grilled meals daily till 6 pm.,cooked and grilled meals,FOOD#STYLE_OPTIONS,positive,23,47,78:00:00,78,,,,,,Closed on Sundays.,,,,,,78:01:00,Value for money.,,RESTAURANT#PRICES,positive,0,0,78:02:00,,,,,,,,,,,,,,,,,,,,,,,,RESTAURANT#GENERAL,positive,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Try the cakes (the large ones), especially the one with forest fruits and chocolate.",cakes,FOOD#QUALITY,positive,8,13,79:00:00,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This was the worst Brazilian BBQ I,ve ever been to.",BBQ,FOOD#QUALITY,negative,29,32,80:00:00,80,,,,,,The meatshadno flavor and the chicken was completely dry.,meatshadno,FOOD#QUALITY,negative,4,14,80:01:00,"Awful experience, the waitress was too busy taking care of other tables.",waitress,SERVICE#GENERAL,negative,22,30,80:02:00,Don't come here.,,RESTAURANT#GENERAL,negative,0,0,80:03:00,chicken,FOOD#QUALITY,negative,30,37,,,,,,,,,,,,RESTAURANT#GENERAL,negative,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The ceviche is amazing.,ceviche,FOOD#QUALITY,positive,4,11,81:00:00,81,,,,,,Worth it!,,RESTAURANT#GENERAL,positive,0,0,81:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You got to try the new Brioche specials :),Brioche specials,FOOD#QUALITY,positive,23,39,82:00:00,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Prosciutto sandwich is the Jam.,Prosciutto sandwich,FOOD#QUALITY,positive,4,23,83:00:00,83,,,,,,Partly because it has strawberry-rhubarb jam.,,,,,,83:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petifores (sp) are the way to go!,Petifores,FOOD#QUALITY,positive,0,9,84:00:00,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The center cut filet is a MUST if you're here for dinner.,center cut filet,FOOD#QUALITY,positive,4,20,85:00:00,85,,,,,,Trust me.,,,,,,85:01:00,"If you find yourself here for brunch, the French toast is the way to go.",French toast,FOOD#QUALITY,positive,42,54,85:02:00,"It can get busy-no worries, free mimosas during your wait!",,RESTAURANT#GENERAL,positive,0,0,85:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great cake here..,Great cake,FOOD#QUALITY,positive,0,10,86:00:00,86,,,,,,It's a chain yes but feels more organic than Starbucks,,FOOD#QUALITY,positive,0,0,86:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herb and bacon cream cheese.,Herb and bacon cream cheese,FOOD#QUALITY,positive,0,27,87:00:00,87,,,,,,Yum.,,,,,,87:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ikura Oroshi is amazing.,Ikura Oroshi,FOOD#QUALITY,positive,0,12,88:00:00,88,,,,,,It made me come back twice.,,FOOD#QUALITY,positive,0,0,88:01:00,The second time I also discovered the black miso cod.,black miso cod,FOOD#QUALITY,positive,38,52,88:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best cakes,, try the mini chocolate buttons <3 I also love their red-velvet cakes <33",cakes,FOOD#QUALITY,positive,5,10,89:00:00,89,mini chocolate buttons,FOOD#QUALITY,positive,21,43,,,,,,,,,,,,,,,,,,,,,,,,,,,red-velvet cakes,FOOD#QUALITY,positive,65,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pancakes are very tasty.,Pancakes,FOOD#QUALITY,positive,0,8,90:00:00,90,,,,,,Wi fi 0137671273,,,,,,90:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adding photo,,,,,,91:00:00,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You have to try their Spanish Latte!,Spanish Latte,FOOD#QUALITY,positive,22,35,92:00:00,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Medicore sushi, not special on taste nor variety and beamwallet doesn't work if you are considering it.",sushi,FOOD#QUALITY,neutral,9,14,93:00:00,93,,RESTAURANT#MISCELLANEOUS,negative,0,0,Overall bad experience and waiting for management to rectify the beamwallet issue.,management,SERVICE#GENERAL,negative,39,49,93:01:00,,,,,,,,,,,,,,,,RESTAURANT#GENERAL,negative,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be in Efes for 2nd time same as last time great food great Mr. Ramadan.,food,FOOD#QUALITY,positive,48,52,94:00:00,94,,,,,,Highly recommended,,RESTAURANT#GENERAL,positive,0,0,94:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dude, Alex makes the best coffee! and he's awfully forceful when it comes to chocolate croissants.",Alex,SERVICE#GENERAL,positive,6,10,95:00:00,95,coffee,DRINKS#QUALITY,positive,26,32,Excellent service.,service,SERVICE#GENERAL,positive,10,17,95:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very nice service and these biscuits are delicious!,service,SERVICE#GENERAL,positive,10,17,96:00:00,96,biscuits,FOOD#QUALITY,positive,28,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lousy !!!!!,,RESTAURANT#GENERAL,negative,0,0,97:00:00,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic and herbs crab + shrimp manchurian + oyster :victory_hand:,Garlic and herbs crab,FOOD#QUALITY,positive,0,21,98:00:00,98,shrimp manchurian,FOOD#QUALITY,positive,24,41,,,,,,,,,,,,,,,,,,,,,,,,,,,oyster,FOOD#QUALITY,positive,44,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Happy Hour!,,RESTAURANT#MISCELLANEOUS,positive,0,0,99:00:00,99,,,,,,Grab the newest issue of NiteGuide Magazine!,,,,,,99:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dal fry with butter naan,,,,,,100:00:00,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absolute favourite hotpot in town!,,RESTAURANT#GENERAL,positive,0,0,101:00:00,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Great great food, not too pricey, good service and nice location near the center of the resort and the beach.",food,FOOD#QUALITY,positive,12,16,102:00:00,102,service,SERVICE#GENERAL,positive,39,46,Totally recommended.,,RESTAURANT#GENERAL,positive,0,0,102:01:00,,,,,,,,,,,,,,,,,,,,location,LOCATION#GENERAL,positive,56,64,,RESTAURANT#PRICES,positive,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Go to sandwich bar for lunch and split it with someone, they give big portions for a good price",portions,FOOD#STYLE_OPTIONS,positive,70,78,103:00:00,103,portions,FOOD#PRICES,positive,70,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margaritas are so strong and I swear there's something not right about them.,Margaritas,DRINKS#QUALITY,negative,0,10,104:00:00,104,,,,,,Delicious!,,FOOD#QUALITY,positive,0,0,104:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great service and coffee.,service,SERVICE#GENERAL,positive,6,13,105:00:00,105,coffee,DRINKS#QUALITY,positive,18,24,"Often crowded and few tables, but cozy.",tables,AMBIENCE#GENERAL,negative,22,28,105:01:00,,,,,,,,,,,,,,,,AMBIENCE#GENERAL,positive,0,0,,,,,,,,,,,,,,,,,AMBIENCE#GENERAL,negative,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I always go for the Pepper Lunch Express...always the best beef pepper rice upsize meal....,Pepper Lunch Express,RESTAURANT#GENERAL,positive,20,40,106:00:00,106,beef pepper rice,FOOD#QUALITY,positive,59,75,,,,,,,,,,,,,,,,,,,,,,,,,,,meal,FOOD#STYLE_OPTIONS,positive,83,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feel friendly,,AMBIENCE#GENERAL,positive,0,0,107:00:00,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appetizers and soup,,,,,,108:00:00,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The staff...from the host to the bartender...were very lovely.,host,SERVICE#GENERAL,positive,21,25,109:00:00,109,bartender,SERVICE#GENERAL,positive,33,42,I appreciated their positive energy and sincereness of how much they liked their job.,,SERVICE#GENERAL,positive,0,0,109:01:00,,,,,,,,,,,,,,,,,,,,staff,SERVICE#GENERAL,positive,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scones are highly recommended both plain and seasonal.,Scones,FOOD#QUALITY,positive,0,6,110:00:00,110,,,,,,"Plus, royal milk tea cake tastes so good, not too sweet.",royal milk tea cake,FOOD#QUALITY,positive,6,25,110:01:00,Here is such a cute and cozy cafe in the heart of Bangkok.,cafe,RESTAURANT#GENERAL,positive,29,33,110:02:00,Me like :),,RESTAURANT#GENERAL,positive,0,0,110:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The stuffed pizza rawks,stuffed pizza,FOOD#QUALITY,positive,4,17,111:00:00,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Try anything, either sweet or salty, tastes amazing and all home made!",,FOOD#QUALITY,positive,0,0,112:00:00,112,,,,,,Nomnom.,,FOOD#QUALITY,positive,0,0,112:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The scallops are fantastic.,scallops,FOOD#QUALITY,positive,4,12,113:00:00,113,,,,,,Have a bottle of Newton Chardonnay to go with it.,Newton Chardonnay,DRINKS#QUALITY,positive,17,34,113:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Try the bacon.,bacon,FOOD#QUALITY,positive,8,13,114:00:00,114,,,,,,It costs more than usual but so worth it.,,RESTAURANT#GENERAL,positive,0,0,114:01:00,"Really thick cuts done at order time, great smoky taste.",taste,FOOD#QUALITY,positive,50,55,114:02:00,Worth the extra cost.,,RESTAURANT#GENERAL,positive,0,0,114:03:00,,RESTAURANT#PRICES,negative,0,0,,,,,,,,,,,cuts,FOOD#STYLE_OPTIONS,positive,13,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Its amazing,,RESTAURANT#GENERAL,positive,0,0,115:00:00,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best Gyro and Baklava in town!!!,Gyro,FOOD#QUALITY,positive,5,9,116:00:00,116,Baklava,FOOD#QUALITY,positive,14,21,Alex is a very awesome man!!,Alex,SERVICE#GENERAL,positive,0,4,116:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee with hazelnut is intoxicating,Coffee with hazelnut,DRINKS#QUALITY,positive,0,20,117:00:00,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One of a great Taiwanese Steamboat.,Taiwanese Steamboat,RESTAURANT#GENERAL,positive,15,34,118:00:00,118,,,,,,Love the solid herbal soup base n the spicy soup is also jus nice.,solid herbal soup base,FOOD#QUALITY,positive,9,31,118:01:00,Good enought to enjoy throughout.,,FOOD#QUALITY,positive,0,0,118:02:00,Set back is too expensive,,RESTAURANT#PRICES,negative,0,0,118:03:00,spicy soup,FOOD#QUALITY,positive,38,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fried oyster sliders will change your life.,Fried oyster sliders,FOOD#QUALITY,positive,0,20,119:00:00,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Check out the All In burger!,All In burger,FOOD#QUALITY,positive,14,27,120:00:00,120,,,,,,It's a burger with pulled pork.,,,,,,120:01:00,"Also, their potato salad is fantastic!",potato salad,FOOD#QUALITY,positive,12,24,120:02:00,"Ask for Caryn or Kristen, they are the best servers!",Caryn,SERVICE#GENERAL,positive,8,13,120:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,Kristen,SERVICE#GENERAL,positive,17,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Their house-made honey-nougat ice cream really tasted much better than the commercial ice creams out there!,honey-nougat ice cream,FOOD#QUALITY,positive,17,39,121:00:00,121,,,,,,Hope they have a branch in Metro Manila.,,,,,,121:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Try the mix fruit juice.,mix fruit juice,DRINKS#QUALITY,positive,8,23,122:00:00,122,,,,,,It's fantastic!,,,,,,122:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The passion tea is yum!,passion tea,DRINKS#QUALITY,positive,4,15,123:00:00,123,,,,,,No caffeine or sugar (unless ya sweeten it!) and very refreshing.,,DRINKS#QUALITY,positive,0,0,123:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The three amigos enchiladas are GREAT!,three amigos enchiladas,FOOD#QUALITY,positive,4,27,124:00:00,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesdays wine and beer are 1/2 off after 3pm :) #vegas #townsquare @crazypita,wine,DRINKS#PRICES,positive,11,15,125:00:00,125,beer,DRINKS#PRICES,positive,20,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They deliver!,,SERVICE#GENERAL,positive,0,0,126:00:00,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The menu...,,,,,,127:00:00,127,,,,,,Very cool vibe and a great dessert/coffee selection.,vibe,AMBIENCE#GENERAL,positive,10,14,127:01:00,,,,,,,,,,,,,,,dessert,FOOD#STYLE_OPTIONS,positive,27,34,,,,,,,,,,,,,,,,coffee,DRINKS#STYLE_OPTIONS,positive,35,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One of my favourite when I come here is mee bandung.,mee bandung,FOOD#QUALITY,positive,40,51,128:00:00,128,,,,,,The best mee bandung in town..,mee bandung,FOOD#QUALITY,positive,9,20,128:01:00,Kelantanesse okay yg masak!,Kelantanesse,FOOD#QUALITY,positive,0,12,128:02:00,Omnomnomnom,,FOOD#STYLE_OPTIONS,positive,0,0,128:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Try the Tea Latte's, It's refreshing and calming",Tea Latte's,DRINKS#QUALITY,positive,8,19,129:00:00,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get ready to wait 1 hour for a bad hamburger!,hamburger,FOOD#QUALITY,negative,35,44,130:00:00,130,,SERVICE#GENERAL,negative,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beat chicken wing, one of the restaurant tauke soh (woman) attitude very rude !!",chicken wing,FOOD#QUALITY,positive,5,17,131:00:00,131,woman,SERVICE#GENERAL,negative,52,57,When she write down ur orders her face macam tak puas,,SERVICE#GENERAL,negative,0,0,131:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nice and cosy bar, cafe!","bar, cafe",AMBIENCE#GENERAL,positive,14,23,132:00:00,132,"bar, cafe",RESTAURANT#GENERAL,positive,14,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horrible food..,food,FOOD#QUALITY,positive,9,13,133:00:00,133,,,,,,And service as well ..,service,SERVICE#GENERAL,negative,4,11,133:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday 8/31 wifi is slow to a halt making work unproductive.,,,,,,134:00:00,134,,,,,,What is up with cafes with slow wifi?,,,,,,134:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picanha show !!!!!!,Picanha,FOOD#QUALITY,negative,0,7,135:00:00,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perfect margarita will destroy you (in a good way),margarita,DRINKS#QUALITY,positive,8,17,136:00:00,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great tapas and cheap beers...,tapas,FOOD#QUALITY,positive,6,11,137:00:00,137,beers,DRINKS#PRICES,positive,22,27,Oh..,,,,,,137:01:00,And it tasted wonderful,,FOOD#QUALITY,positive,0,0,137:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Try the Asado Beef Ribs, the Lokum Beef and the Atnep Baklava for desserts.",Asado Beef Ribs,FOOD#QUALITY,positive,8,23,138:00:00,138,Lokum Beef,FOOD#QUALITY,positive,29,39,,,,,,,,,,,,,,,,,,,,,,,,,,,Atnep Baklava,FOOD#QUALITY,positive,48,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Great coffee, beautiful space!",coffee,DRINKS#QUALITY,positive,6,12,139:00:00,139,space,AMBIENCE#GENERAL,positive,24,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best chicken ever,chicken,FOOD#QUALITY,positive,5,12,140:00:00,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
